,aqi
aqi,1.0
pm10,0.6520306757396384
pm2_5,0.6507571830746266
o3,0.20279580848422393
co,0.09063597368907762
so2,0.06502413837379824
no2,0.03362315596087328
no,-0.021563065921418996
temperature,-0.06432816167241423
wind_speed,-0.0832217735451246
humidity,-0.19027303831373488
nh3,-0.2004406576046409
